filename,local_time
KTLX20200202_140644_V06,20200202_080644
KTLX20200202_141023_V06,20200202_081023
KTLX20200202_141400_V06,20200202_081400
KTLX20200202_141738_V06,20200202_081738
KTLX20200202_142116_V06,20200202_082116
KTLX20200202_142454_V06,20200202_082454
KTLX20200202_142832_V06,20200202_082832
KTLX20200202_143210_V06,20200202_083210
KTLX20200202_143548_V06,20200202_083548
KTLX20200202_143926_V06,20200202_083926
KTLX20200202_144304_V06,20200202_084304
KTLX20200202_144642_V06,20200202_084642
KTLX20200202_145020_V06,20200202_085020
KTLX20200202_145357_V06,20200202_085357
KTLX20200203_130319_V06,20200203_070319
KTLX20200203_131258_V06,20200203_071258
KTLX20200203_132237_V06,20200203_072237
KTLX20200203_133216_V06,20200203_073216
KTLX20200203_134155_V06,20200203_074155
KTLX20200203_140113_V06,20200203_080113
KTLX20200203_141052_V06,20200203_081052
KTLX20200203_142031_V06,20200203_082031
KTLX20200203_143009_V06,20200203_083009
KTLX20200203_143948_V06,20200203_083948
KTLX20200203_144927_V06,20200203_084927
KTLX20200204_130049_V06,20200204_070049
KTLX20200204_130405_V06,20200204_070405
KTLX20200204_130721_V06,20200204_070721
KTLX20200204_131036_V06,20200204_071036
KTLX20200204_131352_V06,20200204_071352
KTLX20200204_131708_V06,20200204_071708
KTLX20200204_132024_V06,20200204_072024
KTLX20200204_132339_V06,20200204_072339
KTLX20200204_132655_V06,20200204_072655
KTLX20200204_133015_V06,20200204_073015
KTLX20200204_133331_V06,20200204_073331
KTLX20200204_133647_V06,20200204_073647
KTLX20200204_134002_V06,20200204_074002
KTLX20200204_134318_V06,20200204_074318
KTLX20200204_134634_V06,20200204_074634
KTLX20200204_134949_V06,20200204_074949
KTLX20200204_135305_V06,20200204_075305
KTLX20200204_135621_V06,20200204_075621
KTLX20200204_140253_V06,20200204_080253
KTLX20200204_140608_V06,20200204_080608
KTLX20200204_140924_V06,20200204_080924
KTLX20200204_141240_V06,20200204_081240
KTLX20200204_141555_V06,20200204_081555
KTLX20200204_141911_V06,20200204_081911
KTLX20200204_142227_V06,20200204_082227
KTLX20200204_142542_V06,20200204_082542
KTLX20200204_142857_V06,20200204_082857
KTLX20200204_143213_V06,20200204_083213
KTLX20200204_143529_V06,20200204_083529
KTLX20200204_143845_V06,20200204_083845
KTLX20200204_144201_V06,20200204_084201
KTLX20200204_144517_V06,20200204_084517
KTLX20200204_144832_V06,20200204_084832
KTLX20200204_145148_V06,20200204_085148
KTLX20200204_145504_V06,20200204_085504
KTLX20200205_130411_V06,20200205_070411
KTLX20200205_130833_V06,20200205_070833
KTLX20200205_131255_V06,20200205_071255
KTLX20200205_131717_V06,20200205_071717
KTLX20200205_132139_V06,20200205_072139
KTLX20200205_132601_V06,20200205_072601
KTLX20200205_133023_V06,20200205_073023
KTLX20200205_133444_V06,20200205_073444
KTLX20200205_133905_V06,20200205_073905
KTLX20200205_134327_V06,20200205_074327
KTLX20200205_134811_V06,20200205_074811
KTLX20200205_135256_V06,20200205_075256
KTLX20200205_140226_V06,20200205_080226
KTLX20200205_140711_V06,20200205_080711
KTLX20200205_141155_V06,20200205_081155
KTLX20200205_141641_V06,20200205_081641
KTLX20200205_142117_V06,20200205_082117
KTLX20200205_142539_V06,20200205_082539
KTLX20200205_143001_V06,20200205_083001
KTLX20200205_143423_V06,20200205_083423
KTLX20200205_143907_V06,20200205_083907
KTLX20200205_144352_V06,20200205_084352
KTLX20200205_144837_V06,20200205_084837
KTLX20200205_145322_V06,20200205_085322
KTLX20200206_130705_V06,20200206_070705
KTLX20200206_131644_V06,20200206_071644
KTLX20200206_132622_V06,20200206_072622
KTLX20200206_133601_V06,20200206_073601
KTLX20200206_134541_V06,20200206_074541
KTLX20200206_140459_V06,20200206_080459
KTLX20200206_141438_V06,20200206_081438
KTLX20200206_142417_V06,20200206_082417
KTLX20200206_143357_V06,20200206_083357
KTLX20200206_144336_V06,20200206_084336
KTLX20200207_130856_V06,20200207_070856
KTLX20200207_131836_V06,20200207_071836
KTLX20200207_132815_V06,20200207_072815
KTLX20200207_133754_V06,20200207_073754
KTLX20200207_134733_V06,20200207_074733
KTLX20200207_140651_V06,20200207_080651
KTLX20200207_141631_V06,20200207_081631
KTLX20200207_142610_V06,20200207_082610
KTLX20200207_143549_V06,20200207_083549
KTLX20200207_144527_V06,20200207_084527
KTLX20200208_130109_V06,20200208_070109
KTLX20200208_131047_V06,20200208_071047
KTLX20200208_132026_V06,20200208_072026
KTLX20200208_133005_V06,20200208_073005
KTLX20200208_133944_V06,20200208_073944
KTLX20200208_134923_V06,20200208_074923
KTLX20200208_140840_V06,20200208_080840
KTLX20200208_141819_V06,20200208_081819
KTLX20200208_142759_V06,20200208_082759
KTLX20200208_143738_V06,20200208_083738
KTLX20200208_144717_V06,20200208_084717
KTLX20200209_130253_V06,20200209_070253
KTLX20200209_131231_V06,20200209_071231
KTLX20200209_132210_V06,20200209_072210
KTLX20200209_133150_V06,20200209_073150
KTLX20200209_134130_V06,20200209_074130
KTLX20200209_140047_V06,20200209_080047
KTLX20200209_141026_V06,20200209_081026
KTLX20200209_142005_V06,20200209_082005
KTLX20200209_142944_V06,20200209_082944
KTLX20200209_143923_V06,20200209_083923
KTLX20200209_144902_V06,20200209_084902
KTLX20200210_130802_V06,20200210_070802
KTLX20200210_131742_V06,20200210_071742
KTLX20200210_132720_V06,20200210_072720
KTLX20200210_133659_V06,20200210_073659
KTLX20200210_134638_V06,20200210_074638
KTLX20200210_140555_V06,20200210_080555
KTLX20200210_141534_V06,20200210_081534
KTLX20200210_142513_V06,20200210_082513
KTLX20200210_143452_V06,20200210_083452
KTLX20200210_144432_V06,20200210_084432
KTLX20200211_125322_V06,20200211_065322
KTLX20200211_130341_V06,20200211_070341
KTLX20200211_130857_V06,20200211_070857
KTLX20200211_131429_V06,20200211_071429
KTLX20200211_131956_V06,20200211_071956
KTLX20200211_132544_V06,20200211_072544
KTLX20200211_133116_V06,20200211_073116
KTLX20200211_133704_V06,20200211_073704
KTLX20200211_134307_V06,20200211_074307
KTLX20200211_134856_V06,20200211_074856
KTLX20200211_140017_V06,20200211_080017
KTLX20200211_140551_V06,20200211_080551
KTLX20200211_141139_V06,20200211_081139
KTLX20200211_141727_V06,20200211_081727
KTLX20200211_142315_V06,20200211_082315
KTLX20200211_142908_V06,20200211_082908
KTLX20200211_143501_V06,20200211_083501
KTLX20200211_144053_V06,20200211_084053
KTLX20200211_144642_V06,20200211_084642
KTLX20200212_125332_V06,20200212_065332
KTLX20200212_130509_V06,20200212_070509
KTLX20200212_131058_V06,20200212_071058
KTLX20200212_131646_V06,20200212_071646
KTLX20200212_132235_V06,20200212_072235
KTLX20200212_132823_V06,20200212_072823
KTLX20200212_133411_V06,20200212_073411
KTLX20200212_134000_V06,20200212_074000
KTLX20200212_134548_V06,20200212_074548
KTLX20200212_135137_V06,20200212_075137
KTLX20200212_140314_V06,20200212_080314
KTLX20200212_140902_V06,20200212_080902
KTLX20200212_141451_V06,20200212_081451
KTLX20200212_142039_V06,20200212_082039
KTLX20200212_142628_V06,20200212_082628
KTLX20200212_143217_V06,20200212_083217
KTLX20200212_143804_V06,20200212_083804
KTLX20200212_144352_V06,20200212_084352
KTLX20200213_124928_V06,20200213_064928
KTLX20200213_130845_V06,20200213_070845
KTLX20200213_131825_V06,20200213_071825
KTLX20200213_132803_V06,20200213_072803
KTLX20200213_133742_V06,20200213_073742
KTLX20200213_134721_V06,20200213_074721
KTLX20200213_140639_V06,20200213_080639
KTLX20200213_141617_V06,20200213_081617
KTLX20200213_142556_V06,20200213_082556
KTLX20200213_143535_V06,20200213_083535
KTLX20200213_144514_V06,20200213_084514
KTLX20200214_124925_V06,20200214_064925
KTLX20200214_130843_V06,20200214_070843
KTLX20200214_131822_V06,20200214_071822
KTLX20200214_132802_V06,20200214_072802
KTLX20200214_133741_V06,20200214_073741
KTLX20200214_134719_V06,20200214_074719
KTLX20200214_140639_V06,20200214_080639
KTLX20200214_141618_V06,20200214_081618
KTLX20200214_142557_V06,20200214_082557
KTLX20200214_143535_V06,20200214_083535
KTLX20200214_144514_V06,20200214_084514
KTLX20200215_130131_V06,20200215_070131
KTLX20200215_131110_V06,20200215_071110
KTLX20200215_132049_V06,20200215_072049
KTLX20200215_133028_V06,20200215_073028
KTLX20200215_134006_V06,20200215_074006
KTLX20200215_134945_V06,20200215_074945
KTLX20200215_140903_V06,20200215_080903
KTLX20200215_141842_V06,20200215_081842
KTLX20200215_142820_V06,20200215_082820
KTLX20200215_143759_V06,20200215_083759
KTLX20200216_130324_V06,20200216_070324
KTLX20200216_131303_V06,20200216_071303
KTLX20200216_132241_V06,20200216_072241
KTLX20200216_133220_V06,20200216_073220
KTLX20200216_134159_V06,20200216_074159
KTLX20200216_140118_V06,20200216_080118
KTLX20200216_141057_V06,20200216_081057
KTLX20200216_142036_V06,20200216_082036
KTLX20200216_143015_V06,20200216_083015
KTLX20200216_143955_V06,20200216_083955
KTLX20200217_124616_V06,20200217_064616
KTLX20200217_130534_V06,20200217_070534
KTLX20200217_131513_V06,20200217_071513
KTLX20200217_132452_V06,20200217_072452
KTLX20200217_133432_V06,20200217_073432
KTLX20200217_134411_V06,20200217_074411
KTLX20200217_140328_V06,20200217_080328
KTLX20200217_141307_V06,20200217_081307
KTLX20200217_142246_V06,20200217_082246
KTLX20200217_143225_V06,20200217_083225
KTLX20200217_144203_V06,20200217_084203
KTLX20200218_124807_V06,20200218_064807
KTLX20200218_130724_V06,20200218_070724
KTLX20200218_131703_V06,20200218_071703
KTLX20200218_132643_V06,20200218_072643
KTLX20200218_133622_V06,20200218_073622
KTLX20200218_134602_V06,20200218_074602
KTLX20200218_140521_V06,20200218_080521
KTLX20200218_141501_V06,20200218_081501
KTLX20200218_142441_V06,20200218_082441
KTLX20200218_143421_V06,20200218_083421
KTLX20200218_143748_V06,20200218_083748
KTLX20200218_144105_V06,20200218_084105
